"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?"
2018-06-03 20:00:00,"K",17,"September",24,99,36,99,99,"Anderson, NEST, Q300","Anderson","Yes"
2018-04-05 20:00:00,"K",2,"March",24,98,36,98,98,NA,NA,"Maybe"
2017-04-24 16:56:49,"K",2,"May",25,99,36,98,99,"Anderson, NEST, PS 77, TAG","PS 158","Yes"
2017-06-01 11:45:11,"K",2,"May",25,99,36,98,99,"Anderson, NEST, Lower Lab, TAG","TAG","Yes"
2018-03-26 20:00:00,"2",21,"October",26,99,36,99,99,"BSI, PS 215","PS 215","Yes"
2018-03-26 20:00:00,"K",32,"August",26,97,36,94,96,"Anderson, NEST, TAG",NA,"Maybe"
2018-03-26 20:00:00,"1",2,"January",28,99,36,96,98,"BSI",NA,NA
2018-04-13 20:00:00,"K",2,"October",21,97,37,99,98,"NEST, Anderson, PS33",NA,"Yes"
2018-03-26 20:00:00,"1",2,"August",22,97,37,99,98,"TAG, lower lab",NA,NA
2017-04-24 07:38:20,"K",28,"February",23,95,37,98,97,"Nest+m, PS144, PS174",NA,"Yes"
2017-05-03 06:40:02,"K",20,"December",23,98,37,99,99,"nest+m, BSI, Anderson, Q300",NA,NA
2017-05-03 06:41:51,"K",20,"December",23,98,37,99,99,"nest, bsi, anderson",NA,NA
2018-04-23 20:00:00,"K",13,"September",23,98,37,99,99,"Anderson, PS9 Brooklyn","PS9 Brooklyn","Yes"
2018-03-26 20:00:00,"K",26,"September",24,93,37,96,95,"PS 188, PS 203",NA,"Yes"
2018-04-16 20:00:00,"K",30,"February",25,99,37,98,99,"Q300, NEST, PS 150(district)",NA,NA
2018-06-06 20:00:00,"K",30,"January",26,99,37,98,99,"NEST+M, Q300, PS166/PS150 (District)","PS 166","Yes"
2017-06-04 02:36:43,"K",2,"April",27,99,37,99,99,"NEST/PS33","NEST","Yes"
2017-05-08 23:30:26,"2",2,"May",28,98,37,95,97,"Anderson (Sibling)",NA,"Yes"
